Question,Label
What is the scope of the Master’s program as defined in the academic regulations?,RAG Search
How do the regulations outline the goals of the Master’s studies?,RAG Search
What academic degree is awarded upon successful completion according to the regulations?,RAG Search
What are the admission requirements for the Master’s program in Data & Knowledge Engineering as described in the guidelines?,RAG Search
What prerequisites are needed for the Master’s program in Digital Engineering?,RAG Search
What does the regulation specify about the admission criteria for Visual Computing?,RAG Search
How is special aptitude determined according to the regulations?,RAG Search
What do the regulations state regarding the required credit points for admission?,RAG Search
What are the language requirements for admission as outlined in the regulations?,RAG Search
How are study durations defined in the academic guidelines for the Master’s programs?,RAG Search
What is the standard duration of the Master’s program as described in the regulations?,RAG Search
How is the structure of the Master’s program organized according to the regulations?,RAG Search
What is the significance of the standard study plans mentioned in the regulations?,RAG Search
How are modules and credit points distributed in the Master’s program based on the regulations?,RAG Search
What types of courses and lectures are included according to the academic guidelines?,RAG Search
How do the regulations differentiate between compulsory and elective courses?,RAG Search
What responsibilities does the academic advising office have as outlined in the regulations?,RAG Search
How do individual study plans work according to the regulations?,RAG Search
What procedures are in place for recognizing prior studies in the academic guidelines?,RAG Search
How is the examination process structured in the regulations?,RAG Search
What role does the examination board play in the regulations?,RAG Search
Who can be a member of the examination board according to the regulations?,RAG Search
What is the process for appointing examiners as described in the regulations?,RAG Search
How many examiners are required for a written examination according to the guidelines?,RAG Search
What do the regulations say about the public nature of oral examinations?,RAG Search
What are the guidelines for the repetition of examinations in the regulations?,RAG Search
How is the Master’s thesis process structured according to the regulations?,RAG Search
What are the steps for registration and submission of the Master’s thesis as outlined in the guidelines?,RAG Search
How do the regulations handle the grading and assessment of module examinations?,RAG Search
What constitutes a successful completion of a module in the academic guidelines?,RAG Search
How are exam results communicated to students as specified in the regulations?,RAG Search
What is the process for appealing examination results according to the regulations?,RAG Search
How do the regulations address cases of academic misconduct?,RAG Search
What provisions are made for exam protection and compensation for disadvantages in the regulations?,RAG Search
How do the regulations define a valid excuse for exam non‐attendance?,RAG Search
What role do exam observers play in the examination process as described in the guidelines?,RAG Search
How are periods of foreign study recognized according to the regulations?,RAG Search
What documentation is required for credit transfer as outlined in the regulations?,RAG Search
How do the regulations address language proficiency verification for admission?,RAG Search
What criteria determine if a student is eligible for an individual study plan according to the guidelines?,RAG Search
How are practical components and projects integrated into the Master’s program as per the regulations?,RAG Search
What do the regulations specify about attendance requirements for courses?,RAG Search
How is the calculation of credit points defined in the academic guidelines?,RAG Search
What guidelines for module examination formats are provided in the regulations?,RAG Search
How is the role of the examination office described in the academic guidelines?,RAG Search
What steps are involved in initiating a re‐examination request according to the regulations?,RAG Search
How do the regulations ensure fairness in the examination process?,RAG Search
What measures do the regulations include for preventing exam malpractice?,RAG Search
How are additional modules or elective courses handled as per the academic guidelines?,RAG Search
What do the regulations indicate about transitions between different study phases?,RAG Search
Can students reattempt a failed examination according to the regulations?,RAG Search
What deadlines are specified for submitting exam applications in the academic guidelines?,RAG Search
How are the roles of program coordinators defined in the regulations?,RAG Search
What is the process for scheduling exams as described in the guidelines?,RAG Search
How do the regulations address special cases such as long-term illness?,RAG Search
What is the maximum time allowed for the completion of a Master’s thesis according to the regulations?,RAG Search
How are thesis topics assigned according to the academic guidelines?,RAG Search
What criteria are used to evaluate a Master’s thesis in the regulations?,RAG Search
How is the final grade for the Master’s degree calculated as per the guidelines?,RAG Search
What happens if a student withdraws from an exam according to the regulations?,RAG Search
How are exam retakes regulated in the academic guidelines?,RAG Search
What is the importance of the module handbook as described in the regulations?,RAG Search
How do the regulations support interdisciplinary studies within the curriculum?,RAG Search
What do the guidelines specify regarding oral versus written exam formats?,RAG Search
How are group projects assessed according to the academic guidelines?,RAG Search
What provisions do the regulations offer for students with disabilities during exams?,RAG Search
How are supplementary examinations handled as per the guidelines?,RAG Search
What information is provided about exam schedules and venues in the regulations?,RAG Search
How do the regulations ensure transparency in the evaluation process?,RAG Search
"What is the process for re‐registration for exams if a deadline is missed, according to the guidelines?",RAG Search
How is the role of the exam office in managing examinations described in the academic guidelines?,RAG Search
What rights do students have regarding access to their examination records as outlined in the regulations?,RAG Search
How is the confidentiality of exam results maintained according to the guidelines?,RAG Search
What are the consequences for exam fraud as detailed in the academic guidelines?,RAG Search
How are exceptions to standard exam procedures handled in the regulations?,RAG Search
What support services are mentioned for exam preparation in the guidelines?,RAG Search
How is the role of tutors defined during examinations in the academic guidelines?,RAG Search
What do the regulations say about the use of electronic devices during exams?,RAG Search
How are durations for oral examinations determined according to the guidelines?,RAG Search
What is the function of the academic colloquium in relation to the Master’s thesis as described in the regulations?,RAG Search
How are exam results published and communicated to students in the academic guidelines?,RAG Search
What criteria are used to assign examiners according to the regulations?,RAG Search
How are conflicts of interest among examiners addressed in the guidelines?,RAG Search
What steps do the regulations outline to update exam content regularly?,RAG Search
How do the guidelines handle situations when examiners are unavailable?,RAG Search
What is the protocol for emergency situations during an exam as specified in the regulations?,RAG Search
How are examiners’ reports documented in the academic guidelines?,RAG Search
What responsibilities does the examination board have during exam preparation according to the regulations?,RAG Search
How do the regulations involve student representatives in the examination process?,RAG Search
What procedures are in place for exam review requests as stated in the academic guidelines?,RAG Search
How do the regulations address the assessment of practical coursework?,RAG Search
What is the policy on late exam submissions according to the guidelines?,RAG Search
How do the regulations define the minimum requirements for exam participation?,RAG Search
What details do the regulations provide about exam registration periods?,RAG Search
How are foreign academic qualifications evaluated according to the guidelines?,RAG Search
What role does a language proficiency certificate play in the admission process as per the regulations?,RAG Search
How are the responsibilities of professors during exams described in the academic guidelines?,RAG Search
What is the process for appealing an exam decision according to the regulations?,RAG Search
How do the regulations ensure the integrity of the exam marking process?,RAG Search
What measures are in place in the regulations to support exam fairness for all students?,RAG Search
How are exam topics for group projects assigned according to the guidelines?,RAG Search
How do the regulations handle conflicts in exam dates?,RAG Search
What information do the regulations provide regarding exam fee structures?,RAG Search
How are additional study modules accounted for in the academic guidelines?,RAG Search
What flexibility do the regulations offer for part-time study options?,RAG Search
How do the regulations describe the criteria for course enrollment?,RAG Search
What are the consequences for missing exam registration deadlines according to the guidelines?,RAG Search
How are changes to exam formats communicated to students as per the regulations?,RAG Search
What guidance is offered for selecting elective courses in the academic guidelines?,RAG Search
How do the regulations advise students on module selection?,RAG Search
What procedures do the regulations specify for handling exam irregularities?,RAG Search
How do the guidelines ensure the secure management of exam materials?,RAG Search
What is the process for updating the module handbook as described in the regulations?,RAG Search
How are changes to exam formats due to exceptional circumstances handled according to the guidelines?,RAG Search
What steps must a student take to request an extension for exam submission as outlined in the regulations?,RAG Search
How do the regulations address the need for oral exam retakes?,RAG Search
What details do the guidelines provide about exam invigilation procedures?,RAG Search
How do the regulations define continuous assessments in the context of module examinations?,RAG Search
What procedures are specified for re-evaluating exam results according to the guidelines?,RAG Search
How do the regulations support students in preparing for their Master’s thesis?,RAG Search
What information do the guidelines provide about scheduling academic colloquia?,RAG Search
How are assessment deadlines enforced as per the academic regulations?,RAG Search
What criteria are mentioned for awarding bonus credit points in the guidelines?,RAG Search
How do the regulations manage the transition from coursework to thesis work?,RAG Search
What role do department heads play in implementing the academic guidelines?,RAG Search
How do the regulations address the integration of interdisciplinary modules?,RAG Search
What support is available for students struggling with module requirements as per the guidelines?,RAG Search
How are exam supervisors assigned according to the academic regulations?,RAG Search
What do the guidelines say about the role of adjunct professors during examinations?,RAG Search
How are practical lab sessions evaluated as per the academic guidelines?,RAG Search
What is the maximum duration allowed for a written exam according to the regulations?,RAG Search
How do the guidelines handle penalties for late arrival at exams?,RAG Search
What do the regulations state about the confidentiality of exam questions?,RAG Search
How is the academic integrity policy enforced as per the guidelines?,RAG Search
What procedures exist for emergency rescheduling of an exam according to the regulations?,RAG Search
How do the guidelines define a valid exam registration?,RAG Search
What is the process for verifying a student’s prior academic credits as outlined in the regulations?,RAG Search
How do the regulations support students during exam re‐sits?,RAG Search
What documentation is required for special exam accommodations according to the guidelines?,RAG Search
How do the regulations differentiate between group and individual assessments?,RAG Search
What information do the academic guidelines provide about exam result publishing timelines?,RAG Search
How are discrepancies in exam scores addressed in the regulations?,RAG Search
What is the protocol for communicating exam schedule changes according to the guidelines?,RAG Search
How are exam invigilators trained as described in the academic regulations?,RAG Search
What do the guidelines indicate about the use of calculators during exams?,RAG Search
How do the regulations address student feedback on exam formats?,RAG Search
What role do student representatives have in revising exam policies according to the guidelines?,RAG Search
How is the process of exam moderation described in the academic regulations?,RAG Search
What requirements do the guidelines set for exam submission formats?,RAG Search
How do the regulations outline the criteria for a successful exam outcome?,RAG Search
What do the guidelines specify about supplementary exam sessions?,RAG Search
How is the grading scale structured according to the academic regulations?,RAG Search
What steps are taken to ensure standardized exam difficulty as per the guidelines?,RAG Search
How are exam re‐sits documented in the academic regulations?,RAG Search
What role do academic mentors play during exam periods according to the guidelines?,RAG Search
How are multiple exam attempts recorded in the regulations?,RAG Search
What is the process for resolving exam discrepancies according to the academic guidelines?,RAG Search
How do the regulations specify the duration of oral exams for group assessments?,RAG Search
What is the procedure for emergency withdrawal from an exam as outlined in the guidelines?,RAG Search
How do the regulations address issues of exam cheating and plagiarism?,RAG Search
What measures do the regulations include to ensure fair evaluation across modules?,RAG Search
How are exam schedules coordinated between departments according to the guidelines?,RAG Search
What is the protocol for examiner substitution in the academic regulations?,RAG Search
How do the regulations define the responsibilities of course coordinators?,RAG Search
What key performance indicators for exam success are outlined in the guidelines?,RAG Search
How do the regulations describe the use of digital platforms for exam delivery?,RAG Search
What guidelines do the regulations provide for open‐book exam formats?,RAG Search
How is student performance in continuous assessments evaluated according to the guidelines?,RAG Search
What do the regulations specify about reviewing exam materials after assessments?,RAG Search
How do the guidelines advise students in preparing for oral defenses?,RAG Search
What is the process for requesting exam rescheduling as per the regulations?,RAG Search
How do the regulations ensure that exam content stays current with curriculum changes?,RAG Search
What procedures for handling exam grievances are outlined in the guidelines?,RAG Search
How do the regulations define the responsibilities of the examination committee?,RAG Search
What role does the examination office play in maintaining records according to the guidelines?,RAG Search
How are exam scheduling conflicts addressed in the academic regulations?,RAG Search
What support do the guidelines offer for students experiencing exam anxiety?,RAG Search
How are topics for oral exams selected according to the regulations?,RAG Search
What do the guidelines state about the timing of exam announcements?,RAG Search
How are exam score appeals managed according to the academic regulations?,RAG Search
What is the procedure for handling exam cancellations as described in the guidelines?,RAG Search
How do the regulations describe the role of exam supervisors in ensuring exam integrity?,RAG Search
What guidelines for exam paper formats are provided in the academic regulations?,RAG Search
How are exam feedback sessions structured according to the guidelines?,RAG Search
What reporting requirements for exam outcomes are stated in the regulations?,RAG Search
How do the regulations ensure consistent marking across different modules?,RAG Search
What is the process for updating exam guidelines as per the academic regulations?,RAG Search
How are the procedures for exam board meetings outlined in the guidelines?,RAG Search
What provisions are made for accommodating exam postponements in the regulations?,RAG Search
How do the guidelines specify the criteria for passing an exam?,RAG Search
What measures do the regulations include for exam security?,RAG Search
How are requests for special exam conditions handled according to the guidelines?,RAG Search
What do the regulations state about handling exam materials after assessments?,RAG Search
How does the examination board resolve discrepancies according to the academic guidelines?,RAG Search
What is the protocol for communication between examiners and the exam office as specified in the regulations?,RAG Search
How do the regulations incorporate feedback from previous exam cycles?,RAG Search
What is the significance of the exam registration period as defined in the guidelines?,RAG Search
How are exceptional circumstances considered in exam scheduling according to the regulations?,RAG Search
What do the guidelines mention about standardized testing materials?,RAG Search
How do the regulations define the criteria for awarding academic honors?,RAG Search
What are the specific roles of professors and junior professors during exams as described in the guidelines?,RAG Search
How do the regulations address the need for supplementary study materials?,RAG Search
What procedures are outlined for handling discrepancies in credit point calculations in the regulations?,RAG Search
How do the regulations ensure exam content reflects the current curriculum?,RAG Search
What do the guidelines specify about scheduling makeup exams?,RAG Search
How are changes to exam venues communicated to students according to the regulations?,RAG Search
