Question,Label
hey! what's new?,greeting
good day :D hope you're well.,greeting
heya friend all good?,greeting
hi :) how's your day?,greeting
"good afternoon, pal hope you're having a great day.",greeting
heya! all good?,greeting
hey :D how are you?,greeting
sup! hope you're well.,greeting
"ciao, assistant hope all is well.",greeting
"good day, pal how are things?",greeting
namaste 👋,greeting
salutations friend how are you?,greeting
hiya... good to see you.,greeting
"yo, buddy good to see you.",greeting
good morning. nice to meet you.,greeting
hello!! hope you're well.,greeting
"hey there, pal what's up?",greeting
hey :D how's life?,greeting
salutations 🙂 what's new?,greeting
namaste how’s everything?,greeting
good afternoon! how's life?,greeting
"hiya there, assistant how's it going?",greeting
namaste. all good?,greeting
good evening! all good?,greeting
hiya there :) what's new?,greeting
hi... how are you?,greeting
good evening 🙂 what's up?,greeting
"ahoy, my friend hope you're having a great day.",greeting
good morning hope you're having a great day.,greeting
heya friend how's your day?,greeting
"hey, pal how's life?",greeting
"good morning, pal how are you?",greeting
"hey, pal hope you're having a great day.",greeting
namaste!! how do you do?,greeting
hey there. nice to see you.,greeting
ciao!! all good?,greeting
ahoy 🙂 how are you?,greeting
hi :D hope you're having a great day.,greeting
"hola, assistant nice to see you.",greeting
good morning how are you?,greeting
ahoy :) what's new?,greeting
"good evening, buddy good morning! How are you?",greeting
good evening :) how are you?,greeting
sup. good morning! How are you?,greeting
heya!! what's new?,greeting
"hiya, buddy how's it going?",greeting
ciao friend hope you're having a great day.,greeting
yo 🙂 how are you?,greeting
"hey, assistant how do you do?",greeting
"salutations, assistant hope you're having a great day.",greeting
"good evening, my friend nice to see you.",greeting
hello there friend hope you're well.,greeting
good morning :D,greeting
"sup, my friend how's it going?",greeting
greetings!! all good?,greeting
hey there! how’s everything?,greeting
"bonjour, assistant what's new?",greeting
ciao :),greeting
ahoy. what's up?,greeting
yo. hope you're well.,greeting
yo :) how’s everything?,greeting
ahoy! nice to see you.,greeting
hello :) how are you?,greeting
good evening!! how's your day?,greeting
hello there :) hope you're having a great day.,greeting
"namaste, pal",greeting
yo 🙂 how’s everything?,greeting
"good morning, pal hope you're well.",greeting
namaste! hope all is well.,greeting
hiya. all good?,greeting
heya!! nice to meet you.,greeting
hiya 👋 hope you're having a great day.,greeting
heya 👋 how's it going?,greeting
good evening friend hope you're doing great.,greeting
yo!! hope you're well.,greeting
hello :D what's up?,greeting
bonjour!! how are things?,greeting
"yo, buddy what's up?",greeting
hiya :) hope all is well.,greeting
hola :D hope you're doing great.,greeting
hiya there!! what's up?,greeting
"good afternoon, pal good morning! How are you?",greeting
hello good morning! How are you?,greeting
hiya there :),greeting
ahoy :D how's it going?,greeting
hi 🙂 nice to meet you.,greeting
howdy 🙂 hope all is well.,greeting
good day :) all good?,greeting
yo 👋 nice to meet you.,greeting
hola!! hope all is well.,greeting
good afternoon :D how do you do?,greeting
yo... good to see you.,greeting
good day friend,greeting
namaste! how's life?,greeting
"hello there, pal how's it going?",greeting
"heya, pal good to see you.",greeting
hey :D hope you're having a great day.,greeting
"ciao, buddy hope all is well.",greeting
good day 👋 hope all is well.,greeting
ciao!! hope you're having a great day.,greeting
howdy friend what's new?,greeting
good morning!! hope you're well.,greeting
greetings!! what's up?,greeting
namaste! how are things?,greeting
hello 🙂 how do you do?,greeting
"hello there, assistant how do you do?",greeting
greetings 👋 how's life?,greeting
yo! hope all is well.,greeting
good day! hope you're having a great day.,greeting
namaste 🙂 all good?,greeting
"howdy, pal how's life?",greeting
good evening hope you're having a great day.,greeting
"hello there, assistant how are things?",greeting
ciao how are you?,greeting
yo how's it going?,greeting
yo :D how’s everything?,greeting
namaste. good to see you.,greeting
"howdy, assistant how do you do?",greeting
howdy friend how’s everything?,greeting
"sup, assistant how's life?",greeting
good afternoon 🙂 hope all is well.,greeting
hey there :) hope all is well.,greeting
